,merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
137,10578807,83,26,76.1,38181.61,94,53,active,,approved,0,0,0,0,MEI,21.0,cnpj
138,11752460,8,1,88.9,5219.3,6,1,blocked,monitoring,blocked,0,0,0,30,MEI,6.0,cnpj
140,5898146,8,2,80.0,203.04,3,1,active,,approved,0,0,0,0,,,cpf
141,16187780,10,1,90.9,69.8,2,0,blocked,monitoring,blocked,0,0,0,0,,4.0,cnpj
145,18413190,42,7,85.7,8182.809999999999,47,16,active,,approved,0,0,0,0,,,cpf
146,10686822,9,3,75.0,2801.0,3,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
150,20827408,10,4,71.4,115.66,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
151,10319973,19,1,95.0,185.28,3,1,blocked,monitoring,blocked,0,0,0,10,,,cpf
152,13901243,3,1,75.0,230.48,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
157,11522744,81,28,74.3,45928.6,100,35,blocked,monitoring,blocked,0,0,0,0,MEI,75.0,cnpj
163,20126421,10,0,100.0,3626.03,9,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
166,21038650,14,0,100.0,824.2,7,2,active,,approved,0,0,0,0,,,cpf
168,14182175,21,6,77.8,2717.36,24,14,active,,approved,0,0,0,0,,,cpf
170,15450162,6,3,66.7,105.0,2,1,blocked,monitoring,blocked,0,0,0,6,,,cpf
171,6677389,14,3,82.4,10564.93,11,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
175,14124679,6,0,100.0,6902.45,5,3,active,,approved,0,0,0,0,,,cpf
177,18977595,8,1,88.9,3610.12,11,2,active,,approved,0,0,0,0,,,cpf
180,8858140,15,3,83.3,6999.84,27,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
187,12918927,4,1,80.0,50.0,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
189,13483357,5,4,55.6,4848.93,6,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
192,4575695,4,2,66.7,1010.25,4,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
193,19415775,4,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
194,17042248,23,6,79.3,6704.03,7,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
198,18103654,9,5,64.3,3040.44,20,12,blocked,monitoring,blocked,0,0,0,0,,,cpf
201,16286865,11,1,91.7,597.0,6,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
202,19924795,24,3,88.9,2671.9,18,9,active,,approved,0,0,0,0,,,cpf
203,10606895,13,3,81.3,1997.7,14,3,active,,approved,0,0,0,0,,,cpf
208,12061803,12,3,80.0,6003.99,8,2,blocked,monitoring,blocked,0,0,3,0,MEI,64.0,cnpj
209,18732753,18,2,90.0,5796.74,24,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
212,14483643,4,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
214,21789891,6,4,60.0,1739.78,6,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
215,16058414,16,6,72.7,6941.4800000000005,29,3,blocked,monitoring,blocked,0,0,48,48,,,cpf
216,16776180,12,6,66.7,10307.09,15,9,active,,approved,0,0,0,0,,,cpf
217,18388064,10,1,90.9,50.0,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
218,15532726,6,3,66.7,2100.0,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
219,18476872,6,0,100.0,4465.61,10,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
221,4104895,21,1,95.5,13003.15,14,12,blocked,monitoring,blocked,0,0,0,0,,,cpf
226,9630579,5,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
230,10390523,7,4,63.6,2110.25,20,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
