merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
11934528,11,3,78.6,2361.4900000000002,9,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
21080058,7,5,58.3,2631,7,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
9409036,9,36,20,4214.98,40,12,blocked,monitoring,blocked,0,0,0,12,,,cpf
10911306,145,476,23.3,30349.5,620,59,active,,approved,0,0,14,0,,,cpf
18974786,6,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
7466626,122,26,82.4,15380.97,152,67,active,,approved,0,0,0,0,,,cpf
16143431,41,2,95.3,381.46,11,2,blocked,monitoring,blocked,0,0,0,16,LUCRO PRESUMIDO,107,cnpj
9804942,14,129,9.8,12085.63,167,51,active,,approved,0,0,0,0,,,cpf
16972606,25,27,48.1,1163.67,49,1,active,,approved,0,0,0,0,,,cpf
16095778,7,13,35,2139.5099999999998,12,10,active,,approved,0,0,0,0,,,cpf
19905513,4,0,100,1100,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
13151123,2,0,100,7197.4400000000005,11,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
17776469,4,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13836448,9,2,81.8,2942,6,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
20297265,6,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
13098712,116,186,38.4,10540.74,293,33,active,,approved,0,0,0,0,,,cpf
18417627,8,10,44.4,14775.1,8,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
16637066,48,0,100,8237.49,36,18,blocked,monitoring,blocked,0,0,0,0,,,cpf
12994443,61,307,16.6,10831.31,398,18,active,,approved,0,0,0,0,,,cpf
11279042,245,1390,15,132480.38,2105,69,active,,blocked,0,0,0,0,SIMPLES,44,cnpj
13518867,19,26,42.2,15312.86,40,32,active,,approved,0,0,0,0,,,cpf
9599534,11,4,73.3,6873.11,12,9,active,,approved,0,0,0,0,,,cpf
21507821,10,1,90.9,942.65,18,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
11392064,26,8,76.5,5483.72,29,12,active,,approved,0,0,0,0,,,cpf
15486109,70,81,46.4,38918.35,154,57,active,,approved,0,0,0,48,,,cpf
19192269,7,1,87.5,0,0,0,active,,approved,0,0,0,0,,,cpf
14161851,16,0,100,162.28,3,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
11041046,49,23,68.1,20216.79,59,20,active,,approved,0,0,0,0,,,cpf
224544,731,403,64.5,449293.98,1220,339,active,,approved,0,0,0,0,LUCRO PRESUMIDO,84,cnpj
14622657,17,5,77.3,9329.27,17,8,active,,approved,0,0,0,0,,,cpf
19098161,68,181,27.3,4865.25,245,4,active,,approved,0,0,0,0,,,cpf
126410,133,280,32.2,250550.01,448,190,active,,approved,0,0,0,0,SIMPLES,42,cnpj
10094256,16,50,24.2,3422.52,67,12,active,,approved,0,0,0,0,MEI,33,cnpj
11486109,10,4,71.4,6867.08,11,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
11395072,27,4,87.1,11794,25,8,active,,approved,0,0,0,0,MEI,44,cnpj
1254262,20,2,90.9,5678.53,15,11,active,,approved,0,0,0,0,,,cpf
4437378,97,98,49.7,26975.07,171,51,active,,approved,0,0,0,0,MEI,29,cnpj
14355799,39,20,66.1,18172,55,30,inactive,legal_shift,inactive,0,0,0,0,,,cpf
11954265,3,3,50,56,3,0,active,,approved,0,0,0,0,,,cpf
12314766,19,66,22.4,10962.7,89,52,active,,approved,0,0,0,0,,,cpf
13496558,62,85,42.2,36555.25,145,54,active,,approved,0,0,0,0,MEI,11,cnpj
17155065,4,4,50,424.65,9,1,blocked,monitoring,blocked,0,0,12,0,,,cpf
9680210,6,14,30,3555.91,17,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
19254670,4,0,100,25,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
11931467,8,33,19.5,940,42,0,blocked,purchase_regret,inactive,0,0,0,0,,,cpf
19071601,14,10,58.3,2908.73,21,9,active,,approved,0,0,0,0,,,cpf
15054088,23,0,100,1397,16,2,active,,approved,0,0,0,0,,,cpf
13707721,16,149,9.7,2926,199,0,active,,approved,0,0,0,0,,,cpf
9347934,105,70,60,34447.79,135,66,active,,approved,0,0,0,0,,,cpf
9809111,15,36,29.4,35184.97,48,19,active,,approved,0,0,0,0,MEI,11,cnpj
4950538,77,166,31.7,13989.88,228,51,active,,approved,0,0,0,0,,,cpf
11650121,7,1,87.5,9465,7,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
13591139,3,1,75,3.1,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
12312314,15,9,62.5,1190,25,4,blocked,monitoring,blocked,0,0,0,0,,,cpf
5142698,5,0,100,1450,2,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
14488015,8,0,100,361.38,2,1,active,,approved,0,0,0,0,,,cpf
11626183,103,195,34.6,15586.45,313,49,active,,approved,0,0,0,0,,,cpf
10586636,22,192,10.3,22222.64,322,99,active,,approved,0,0,0,0,LTDA,8,cnpj
8434734,156,306,33.8,18162.27,484,44,active,,approved,0,0,0,0,,,cpf
11714011,8,25,24.2,414.07,34,0,active,,approved,0,0,0,0,,,cpf
8667811,111,80,58.1,25467.19,179,86,active,,approved,0,0,0,0,,,cpf
17739950,30,569,5,15904.43,634,8,active,,approved,0,0,0,0,,,cpf
14105140,46,55,45.5,11555,95,41,active,,approved,0,0,0,0,,,cpf
6313417,8,26,23.5,3146,31,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
5854342,7,1,87.5,8862.58,14,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
19505559,41,110,27.2,6833,205,2,active,,approved,0,0,0,0,,,cpf
5183549,18,51,26.1,41982,44,35,active,,approved,0,0,0,0,,,cpf
781256,363,2439,13,286822.37,2812,275,active,,approved,0,0,0,0,LTDA,108,cnpj
20879638,6,1,85.7,1683.64,7,3,active,,approved,0,0,0,0,,,cpf
14596354,20,58,25.6,28528.3,33,17,active,,approved,0,0,0,0,,,cpf
14957269,6,3,66.7,6359.29,14,4,blocked,monitoring,blocked,0,0,6,0,,,cpf
7909762,5,3,62.5,742,7,2,active,,approved,0,0,0,0,,,cpf
16880462,24,10,70.6,4031.67,23,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
14404683,130,326,28.5,21211.36,437,45,active,,approved,0,0,0,0,,,cpf
10443459,103,4,96.3,40987.32,78,40,active,,approved,0,0,0,0,,,cpf
