user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
14322273,blocked,monitoring,blocked,2,12,1465.0,,,,,0,0,18,0,,
8667811,active,,approved,85,178,25337.19,0.0046200861263620795,117.06,1,1.0,0,0,0,0,,
17756538,active,,approved,10,16,5372.89,,,,,0,0,0,0,,
12658504,blocked,monitoring,blocked,3,9,4125.08,,,,,0,0,0,0,,
11374823,active,,approved,18,302,7680.39,,,,,0,0,0,0,,
12844537,active,,approved,0,0,0.0,,,,,0,0,0,0,,
19098161,active,,approved,4,183,3663.06,,,,,0,0,0,0,,
19415775,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
13591139,blocked,monitoring,blocked,0,1,3.1,,,,,0,0,0,0,,
7312886,active,,approved,40,78,10356.7,,,,,0,0,0,0,,
13022134,active,,approved,15,208,5139.29,,,,,0,0,0,0,,
20639793,active,,approved,3,11,748.0,,,,,0,0,0,0,,
16011993,active,,approved,19,34,17170.98,,,,,0,0,0,0,,
12178224,active,,approved,47,312,14342.73,,,,,0,0,0,0,,
13980323,blocked,monitoring,blocked,1,1,500.0,,,,,0,0,0,0,,
20875631,blocked,monitoring,blocked,3,15,1543.39,,,,,0,0,0,0,,
9413567,blocked,monitoring,blocked,2,3,1103.33,,,,,0,0,0,0,,
17846791,blocked,monitoring,blocked,2,3,1335.77,,,,,0,0,3,0,,
9489865,active,,approved,5,238,4857.13,,,,,0,0,0,0,,
20144366,active,,approved,10,25,2811.79,,,,,0,0,0,0,,
10223675,blocked,monitoring,blocked,4,7,748.85,,,,,0,0,0,0,,
12646831,active,,approved,1,64,4992.0,,,,,0,0,0,0,,
17343450,blocked,monitoring,blocked,6,7,3949.0299999999997,,,,,0,0,0,0,,
10981512,blocked,monitoring,blocked,2,7,747.01,,,,,0,0,0,0,,
14596354,active,,approved,17,33,28528.3,,,,,0,0,0,0,,
12686384,blocked,monitoring,blocked,4,5,3545.0,0.13874471086036672,491.85,1,0.0,0,0,0,0,,
19505559,active,,approved,2,205,6833.0,,,,,0,0,0,0,,
7365269,blocked,monitoring,blocked,10,17,13701.83,,,,,0,0,0,0,,
10543694,blocked,monitoring,blocked,14,17,16284.21,,,,,0,0,0,0,,
16776180,active,,approved,9,15,10307.09,,,,,0,0,0,0,,
12846745,blocked,monitoring,blocked,1,5,407.0,,,,,0,0,0,40,,
17092386,active,,approved,38,262,11131.01,,,,,0,0,0,0,,
13098712,active,,approved,33,293,10540.74,,,,,0,0,0,0,,
8051742,active,,approved,14,63,4503.68,,,,,0,0,0,0,,
12730618,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
14488015,active,,approved,1,2,361.38,,,,,0,0,0,0,,
3230140,active,mpos: nonce mismatch,approved,23,49,4809.17,,,,,0,0,0,0,,
7685549,blocked,monitoring,blocked,11,45,3239.96,,,,,0,0,0,0,,
10911306,active,,approved,59,620,30349.5,,,,,0,0,14,0,,
14622657,active,,approved,8,17,9329.27,,,,,0,0,0,0,,
11941839,blocked,monitoring,blocked,4,17,2733.12,,,,,0,0,0,24,,
19071601,active,,approved,9,21,2908.73,,,,,0,0,0,0,,
12864404,active,,approved,64,134,18535.76,,,,,0,0,0,0,,
14161851,blocked,monitoring,blocked,1,3,162.28,,,,,0,0,0,0,,
21789891,blocked,monitoring,blocked,1,1,137.99,,,,,0,0,0,0,,
10576583,active,,approved,42,88,32547.0,,,,,0,0,0,0,,
20455145,blocked,monitoring,blocked,2,3,216.0,,,,,0,0,0,0,,
15788772,active,,approved,24,51,6015.11,,,,,0,0,0,0,,
10506125,active,,approved,1,5,925.0,,,,,0,0,0,0,,
12834372,active,,approved,21,167,5908.6,,,,,0,0,0,0,,
17081806,blocked,monitoring,blocked,47,164,19258.24,,,,,0,0,0,0,,
11652101,blocked,monitoring,blocked,4,19,1211.92,,,,,0,0,0,0,,
14105140,active,,approved,41,95,11555.0,,,,,0,0,0,0,,
9409036,blocked,monitoring,blocked,12,40,4214.98,,,,,0,0,0,12,,
10606895,active,,approved,3,14,1997.7,,,,,0,0,0,0,,
6656432,blocked,monitoring,blocked,2,5,1514.9099999999999,,,,,0,0,6,0,,
9320774,active,,approved,7,53,2353.66,,,,,0,0,0,0,,
15486109,active,,approved,57,154,38918.35,,,,,0,0,0,48,,
13792915,active,,approved,12,180,4703.83,,,,,0,0,0,6,,
15350179,blocked,monitoring,blocked,5,6,6948.92,,,,,0,0,0,0,,
9347934,active,,approved,62,131,33073.57,,,,,0,0,0,0,,
10777480,active,,approved,43,70,10507.35,,,,,0,0,0,0,,
14404683,active,,approved,40,357,19104.64,,,,,0,0,0,0,,
13334564,blocked,monitoring,blocked,6,18,3578.0,,,,,0,0,0,0,,
15789454,blocked,monitoring,blocked,3,19,1472.5,,,,,0,0,0,0,,
13614170,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
17252743,active,,approved,2,10,1264.5,,,,,0,0,0,0,,
10061291,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
21637927,active,,approved,5,13,6745.19,,,,,0,0,0,0,,
13655311,active,,approved,5,130,2410.67,,,,,0,0,0,0,,
18977595,active,,approved,2,11,3610.12,,,,,0,0,0,0,,
20476605,active,,approved,3,8,6284.76,,,,,0,0,0,0,,
6313417,blocked,monitoring,blocked,1,31,3146.0,,,,,0,0,0,0,,
9452168,blocked,monitoring,blocked,6,11,6407.22,,,,,0,0,0,24,,
16152677,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
11790847,active,,approved,11,67,2960.83,,,,,0,0,0,0,,
7747745,active,,approved,33,58,17386.95,,,,,0,0,0,0,,
16848663,active,,approved,1,5,3176.03,,,,,0,0,0,0,,
14422164,blocked,monitoring,blocked,11,41,9093.0,,,,,0,0,0,0,,
