user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
1158983,inactive,legal_shift,inactive,21,867,54917.5,,,,,0,0,0,0,SIMPLES,47.0
11401977,active,,approved,29,221,27654.62,,,,,0,0,0,0,MEI,55.0
20577265,blocked,monitoring,blocked,1,7,3525.0,,,,,0,0,3,0,,0.0
7542846,active,,approved,120,3814,107748.66,,,,,0,0,0,0,MEI,8.0
16421045,blocked,monitoring,blocked,5,23,6410.88,,,,,0,0,12,12,SIMPLES,40.0
6544957,active,,approved,60,467,94382.0,,,,,0,0,0,0,MEI,16.0
17571274,blocked,monitoring,blocked,4,62,17208.83,,,,,0,0,160,160,SIMPLES,45.0
9959094,active,,approved,5,139,5494.0,,,,,0,0,0,0,MEI,117.0
12796758,active,,approved,104,5081,138704.34,,,,,0,0,0,0,LUCRO PRESUMIDO,55.0
16232651,blocked,monitoring,blocked,4,40,13074.87,,,,,0,0,324,324,LTDA,20.0
472887,active,,approved,385,2824,488032.49,,,,,0,0,0,0,SIMPLES,62.0
4210309,active,,approved,33,157,65215.0,,,,,0,0,0,0,SIMPLES,73.0
9064371,active,,approved,72,108,227155.73,,,,,0,0,0,0,SIMPLES,25.0
4213027,active,,approved,157,465,289596.22,0.0048428463603564995,1402.47,3,1.0,0,0,0,44,MEI,72.0
28252,active,,approved,1270,5902,1414908.21,,,,,0,0,0,0,SIMPLES,53.0
12107450,active,,approved,15,168,8373.35,,,,,0,0,0,0,,6.0
10586636,active,,approved,95,299,20522.31,,,,,0,0,0,0,LTDA,8.0
8108419,active,,approved,57,3912,75339.0,,,,,0,0,0,0,MEI,57.0
8269183,active,,approved,19,23,5762.92,,,,,0,0,0,0,MEI,39.0
2473274,active,,approved,184,1801,146863.9,,,,,0,0,0,0,MEI,21.0
16187780,blocked,monitoring,blocked,0,2,69.8,,,,,0,0,0,0,,3.0
